,k,psnr
0,10,27.488
1,20,27.109
2,30,26.945
3,40,26.805
4,50,26.675
5,60,26.593
6,70,26.458
7,80,26.364
8,90,26.162
9,100,26.299
10,110,26.217
11,120,26.152
