,k,psnr
0,10,26.379
1,20,27.403
2,30,27.403
3,40,27.391
4,50,27.269
5,60,27.167
6,70,27.163
7,80,27.358
8,90,27.234
9,100,27.192
10,110,27.168
11,120,27.113
