,k,psnr
0,10,26.267
1,20,26.472
2,30,26.401
3,40,26.323
4,50,26.142
5,60,25.92
6,70,25.823
7,80,25.826
8,90,25.772
9,100,25.656
10,110,25.522
11,120,25.522
