,k,psnr
0,10,24.666
1,20,25.646
2,30,25.814
3,40,25.888
4,50,25.944
5,60,25.911
6,70,25.922
7,80,25.909
8,90,25.865
9,100,25.914
10,110,25.892
11,120,25.865
